Group_ID,event_id,source,dance_style,url,event_type,event_name,day_of_week,start_date,end_date,start_time,end_time,price,location,address_id,description,time_stamp,Label
13,3959,Red Hot Swing,"swing, balboa, lindy hop, east coast swing",https://www.google.com/calendar/event?eid=N25lc3Y1cnZiY2I0dHA1MWMyYzQ3dGVoZWJfMjAyNTAyMDVUMDQwMDAwWiA3OWNmcDNhc2Y3Ym9kOXE0aWNnYzRydHRub0Bn,class,Swing 4 Balboa (4 of 6),Tuesday,2025-02-11,2025-02-11,20:00:00,21:30:00,NULL,"St. Matthias Anglican Church, 600 Richmond Ave, Victoria, BC V8S 3Y7, Canada",1,"When you are ready to sign up for a series, just head over to our class registration page to let us know you are coming ! If you'd like to find out how our classes work, read course descriptions, or check out our prices, then have a boo at the page all about our classes . :)",56:33.3,0
14,2479,Victoria Latin Dance Association,"salsa, bachata, kizomba, merengue",https://www.google.com/calendar/event?eid=Xzg4b2o4ZWEyOGtyMzBiOXA4OHFqY2I5azg0cDRjYmEyNmgyMzhiYTY3MTMzZWU5aTZzcGowY2hoNjRfMjAyNTAyMTJUMDQzMDAwWiAxN2RlMmNhNDNmNTI1Yzg3MDU4ZmZhZmUxZjAyMDZkYTgyYTE5ZDAwYTg1YTZhZTk3OWFkNmJiNjE4ZGNkOGFlQGc,social dance,Miguelito Valdes Trio,Tuesday,2025-02-11,2025-02-11,20:30:00,23:30:00,NULL,"Bard & Banker, 1022 Government St, Victoria, BC V8W 1X7, Canada",1909,"Live music and dancing at the Bard and Banker on Government St with Miguelito's band. Mostly salsa, a little bit of cha-cha. Double check the Bard website for details and event status.",06:54.7,0
14,5356,Bard and Banker,"bachata, cha cha, cumbia, merengue, salsa",https://www.bardandbanker.com/live-music,social dance,Miguelito Valdés+band,Tuesday,2025-02-11,2025-02-11,20:30:00,NULL,,"1022 Government St. Victoria, BC V8W 1Y3",2245,NULL,24:52.5,1
15,2480,Victoria Latin Dance Association,"salsa, bachata, kizomba, merengue",https://www.google.com/calendar/event?eid=bnIxY2FjdWtjNjc3cnJkYThiZzQzcm5kZ21fMjAyNTAyMTNUMDMwMDAwWiAxN2RlMmNhNDNmNTI1Yzg3MDU4ZmZhZmUxZjAyMDZkYTgyYTE5ZDAwYTg1YTZhZTk3OWFkNmJiNjE4ZGNkOGFlQGc,class,Cuban Salsa Club,Wednesday,2025-02-12,2025-02-12,19:00:00,21:00:00,NULL,"University of Victoria Students’ Society, 3800 Finnerty Rd A101E, Victoria, BC V8P 5C2, Canada",NULL,"Free Rueda de Casino class (Cuban salsa, but in a big circle) from 7-8pm. Social dancing from 8-9pm. Double check instagram or facebook (@uviccubansalsa) for event details and location.",06:54.7,0
15,5260,DJ Dancing Dean,West Coast Swing,djdancingdean@39679421.mailchimpapp.com,class,West Coast Swing to the Next Level with Andre and Vanessa - Week 1,Wednesday,2025-02-12,2025-02-12,19:00:00,21:30:00,$80,"Centennial United Church, 612 David St.",NULL,"Join us for the first week of a 4-week West Coast Swing series designed for advanced beginners to intermediate dancers. Refine your technique, expand your styling, and enhance your connection on the dance floor.",37:12.0,1
15,5288,DJ Dancing Dean,West Coast Swing,djdancingdean@39679421.mailchimpapp.com,class,West Coast Swing Class with Andre and Vanessa,Wednesday,2025-02-12,2025-02-12,19:00:00,21:30:00,$80,"Centennial United Church, 612 David St.",NULL,"Join us for a 4-week West Coast Swing series designed for dancers ready to grow beyond the basics. Perfect for advanced beginners to intermediate dancers, this series will refine your technique, expand your styling, and enhance your connection on the dance floor.",50:23.8,0
16,5062,Victoria Ballroom Dance Society,ballroom,https://vbds.org/other-dancing-opportunities/,class,Bronze 3,Thursday,2025-02-13,2025-02-13,18:30:00,20:00:00,,Centennial United Church Dance Studio,NULL,Bronze 3 class from 18:30 to 20:00.,56:20.2,0
16,5061,Victoria Ballroom Dance Society,ballroom,https://vbds.org/other-dancing-opportunities/,class,Newcomer 3,Thursday,2025-02-13,2025-02-13,18:30:00,20:00:00,,Les Passmore Centre,NULL,Newcomer 3 class from 18:30 to 20:00. Membership required.,56:20.2,0
17,5293,DJ Dancing Dean,"West Coast Swing, Valentine's Dance",djdancingdean@39679421.mailchimpapp.com,class,West Coast Swing and Valentine's Sweetheart Dance with Andre and Vanessa,Wednesday,2025-02-13,2025-02-13,19:30:00,21:45:00,$12,"Pro Pat Legion, 411 Gorge Rd E",NULL,West Coast Swing and Valentine's Sweetheart Dance (dress 'red' for Valentines) with Andre and Vanessa.,50:23.8,0
17,5146,,,https://www.facebook.com/events/1225081802127940/,class,Pratica: Winter series,Thursday,2025-02-13,2025-02-13,19:30:00,23:30:00,,NULL,NULL,Pratica: Winter series Ali and 2 friends,45:33.0,0
17,5326,DJ Dancing Dean,west coast swing,djdancingdean@39679421.mailchimpapp.com,class,Andre and Vanessa - West Coast Swing and Valentine's Sweetheart Dance,Thursday,2025-02-13,2025-02-13,19:30:00,21:45:00,$12,"Pro Pat Legion, 411 Gorge Rd E",NULL,Andre and Vanessa present West Coast Swing and Valentine's Sweetheart Dance. Dress 'red' for Valentines. 1-hr lesson starting at 7:30pm followed by social dancing from 8:30pm to 9:45pm. Drop-in fee applies.,11:42.2,1
18,4835,Salsa Caliente,"salsa, bachata, kizomba, merengue, cha cha cha",https://www.google.com/calendar/event?eid=c3MzM2NsdjgxZTFjb3A4czM2bnRpcmR0ZTBfMjAyNTAyMTRUMDQwMDAwWiBsZTZtZGw5dDhkaGEydmhnZzNxcDVrcWJqOEBn,class,Student Social & Practice Time,Thursday,2025-02-13,2025-02-13,20:00:00,21:00:00,NULL,"Studio 4 Athletics, 715 Yates St, Victoria, BC V8W 1L6, Canada",390,***Open only to students currently registered in Fundamentals at Studio 4.*** Come and practice what you have been learning in class.,56:42.9,0
18,4339,Salsa Caliente,"salsa, bachata, kizomba, merengue, cha cha cha",https://www.google.com/calendar/event?eid=NnYwaGM2aG1uOWVkcDllcG1mOW84MzcwNTFfMjAyNTAyMTRUMDQwMDAwWiA3NWI3YWdoMWdtNmZtNWpvbTkyOW5ncmw0NEBn,social dance,Bachata & Merengue- All Levels,Thursday,2025-02-13,2025-02-13,20:00:00,21:00:00,NULL,"Studio 4 Athletics, 715 Yates St, Victoria, BC V8W 1L6, Canada",390,"Bachata &amp; Merengue are both dances from the Dominican Republic. Bachata can be anywhere from slow and romantic with lots of dips, sway and body movement to more upbeat and percussive with lots of musical footwork. Merengue is carefree, flirtatious and fun! Every Thursday from 8:00- 9:00pm No experience or partner is necessary as we rotate partners throughout the lesson. Call 250-881-6141 or email info@calientedance.com for more details. At this time, due to COVID, all classes and rehearsals will follow personal protection rules. * Masks will be optional, and we ask that you please sanitize your hands upon arrival at the studio. * If you choose to wear a mask, please ensure that you are physically able to participate with the reduction to airflow that a mask will cause and consult an expert if necessary. * Please arrive no earlier than 5 min before class to allow for smooth class transition. * Experiencing symptoms? Please stay home and get better! No drop ins permitted so please contact us to reserve your spot!",56:39.4,0
