source,keywords,link
Latin Dancing Festivals in Canada (Updated 2025),"salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecalendar.com/festivals/location/canada/
American Style Rhythm Dance Studios,"salsa, bachata, kizomba, merengue, cha cha cha",https://thedancestudiofinder.com/dance-studios/categories/american-style-rhythm/
WhereCanWeDance,"salsa, bachata, kizomba, merengue, cha cha cha",https://wherecanwedance.com/event_types/social
"Strictly Lindy Hop Swing Vancouver, BC","swing, balboa, lindy hop, east coast swing",https://www.facebook.com/groups/strictlylindy/
Red Hot Swing,"swing, balboa, lindy hop, east coast swing",https://www.redhotswing.com/
Harbourside Swing,"swing, balboa, lindy hop, east coast swing",https://www.facebook.com/groups/harboursideswing/
East Coast Swing Dance Studios,"swing, balboa, lindy hop, east coast swing",https://thedancestudiofinder.com/dance-studios/categories/east-coast-swing/
Arthur Murray Victoria,"swing, balboa, lindy hop, east coast swing",https://victoriaarthurmurray.com/dances-we-teach
Quickstep Dance Studios,"swing, balboa, lindy hop, east coast swing",https://thedancestudiofinder.com/dance-studios/categories/quickstep/
Lindy Cruise,"swing, balboa, lindy hop, east coast swing",https://lindycruise.com/schedule/
Rumba Dance Studios,"swing, balboa, lindy hop, east coast swing",https://thedancestudiofinder.com/dance-studios/categories/rumba/
None,"swing, balboa, lindy hop, east coast swing",https://www.swingvictoria.net/events/past-events/swing-social-shag-and-balboa-shake-out-july-16-2022
Swing X,"swing, balboa, lindy hop, east coast swing",https://www.swingx.ca/
Alive Tango Victoria,"milonga, tango",https://alivetangovictoria.ca/
Alive Tango Victoria,"milonga, tango",https://www.facebook.com/groups/alivetango/
Tango Pacifico Milonga,"milonga, tango",http://alivetangovictoria.ca/events/tango-pacifico-milonga/
Victoria Tango Marathon,"milonga, tango",https://www.facebook.com/victoriatangomarathon/
None,"milonga, tango",https://www.legacy.com/ca/obituaries/timescolonist/name/john-sanders-obituary?id=40095957
Victoria Tango Marathon,"milonga, tango",https://victoriatangomarathon.com/
None,"milonga, tango",https://www.instagram.com/sarah_redtango/?hl=en
Places to Dance Argentine Tango,"milonga, tango",https://www.danceplace.com/places/in/Argentine+Tango/Canada/Victoria_+BC
DanceHouse,"milonga, tango",https://dancehouse.ca/event/videla/
All Vancouver Tango,"milonga, tango",https://www.allvancouvertango.com/
Victoria West Coast Swing Collective,"west coast swing, wcs",https://www.facebook.com/groups/victoriawestcoastswingcollective/
Victoria West Coast Swing Collective Society,"west coast swing, wcs",https://www.victoriawestcoastswing.com/
"WCS Lessons, Social Dances, and Conventions","west coast swing, wcs",https://bcswingdance.ca/index.php/learn-to-dance/
Victoria West Coast Swing Collective Society,"west coast swing, wcs",https://www.victoriawestcoastswing.com/new-page-3
None,"west coast swing, wcs",https://www.instagram.com/ewienzveg/?hl=en
Nanaimo Dance Fusion,"west coast swing, wcs",https://www.nanaimodancefusion.ca/
**TikTok**,"west coast swing, wcs",https://www.tiktok.com/discover/victoria-falls-gorge-swing?lang=en
Country Western Dancing in Vancouver,"west coast swing, wcs",https://www.tripadvisor.ca/ShowTopic-g154943-i81-k6437363-Country_Western_Dancing_in_Vancouver-Vancouver_British_Columbia.html
Weekenders,"west coast swing, wcs",https://weekenders.dance/
Roll Up The Rug & Dance,"west coast swing, wcs",https://www.rolluptherug.com/
